"redni broj"	"URL"	"thumb"	"koordinate "	"id. Broj"	"naziv djela"	"ime autora"	"prezime autora"	"godina nastanka"	"tehnika"	"format"	"vlasnik"	"link vlasnik"	"glavni narativ uz djelo )pojavljije se kao prvi pasus)"	"sekundarni narativ uz djelo, slijedi nakon prvog, služi obično da se povežu pojedine tačke"	"narativ za koji se veže. Ako ih ima više razdvojiti ih sa tačka zarez, npr: Miunović Milo;Boka kotorska; ovo se pojavljuje nakon teksta o jedinici "	"način pojavljivanja prilikom pretrage? Ovome je posvećena velia pažnja u ovoj probnoj aplikacij"	"kategorija"	"komentar uz link, tj. Informacija na što upućuje pošto se uvijek ne zaključuje iz linka. U U mapu ovo ide zajedno"	"Column4"
40			"42.432073,18.592300"	1094	"Jutro u Kotorskom zalivu"	"Eckardt"	"Christian Frederik Emil "	1875	"ulje na platnu"	"37x59"		"wikimedia"	"Prikaz svitanja nad Bokokotorskim zalivom, u mirno zimsko jutro obasjano mekim, zlatnim svjetlom. Na staklastoj površini mora miruju jedrenjaci s napetim jedrima koja hvataju prve sunčeve zrake, dok se u pozadini uzdiže Lovćen obavijen hladnim plavičastim tonovima. "		"Christian Frederik Emil Eckardt; Kotor"				
41			"42.443585,18.763576"	1095	"Pogled na Kotorski zaliv"	"Eckardt"	"Christian Frederik Emil "	1890	"ulje na platnu"	"50x76"		"wikimedia"		"Njegova djela odlikuju se harmoničnim, intenzivnim koloritom i uravnoteženim prikazima brodova, mirnih voda i kromatskog neba, često prožetih tihom, romantičnom atmosferom."	"Christian Frederik Emil Eckardt; Kotor"				
78			"42.401911,18.773704"	1096	"Pogled na tvrđavu Sv. Trojica"	"Feodor"	"von Karacsay"	1827					"Veduta prikazuje panoramski pogled na prevoj i tvrđavu  SvetaTrojica iznad Kotora, prema Tivatskom zalivu. U prvom planu ističe se lik crnogorskog stražara, dok se u daljini prepoznaju povorka vojnika i tvrđava na brijegu. Pejzaž je izveden u mekim akvarelnim tonovima zelene, oker i plave, s pažljivo modelovanim planinskim padinama i mirnim, vedrim nebom. "		"Feodor von Karacsay; Kotor"				
66			"42.487878,18.695501"	1098	"Pogled na Perast"	"Fritz"	"Lach"	1909	"akvarel"				"Djelo odlikuju prozračnost i mekoća, naročito u prikazu mora i neba, sa suptilnim prelazima tonova i određenom romantičnom notom. Harmoniji doprinosi odnos između toplih tonova arhitekture i hladnijih nijansi mora i planinskog zaleđa. Tipičan pogled na arhitekturu grada (u prvom planu palatu Bujović, današnji Muzej grada Perasta i palatu Smekja iza koje se vidi zvonik crkve Sv. Nikole) dok se u pozadini vidi zaliv iznad kojeg se uzdiže Lovćen. Lah bilježi pitoresknost pejzaža i specifičnu igru svjetla na kamenim fasadama, više kao vizuelni doživljaj nego kao emotivno-istorijski izraz."	"Ovaj rad predstavlja tipičan primjer interesovanja stranih umjetnika za egzotični bokeljski pejzaž krajem XIX i početkom XX vijeka, sa akcentom na slikovitost i atmosferu mediteranskog ambijenta."	"Fritz Lach; Perast"				
67			"42.487878,18.695501"	1099	"Perast u Kotorskom zalivu"	"Fritz"	"Lach"	1927					"Austrijski slikar i akvarelista s kraja XIX i početka XX vijeka, obrazovan u Beču, poznat po lirski intoniranim pejzažima i vedutama mediteranskog prostora. Putovao je duž Jadrana, bilježeći motive obale, gradova i zaliva u mekim tonovima akvarela. Njegova djela odlikuju se osjećajem za svjetlo i atmosferu, karakterističnim za bečku slikarsku tradiciju tog vremena."		"Fritz Lach; Perast"				
51			"42.422012,18.771017"	1100	"Luka u Kotoru"	"Gurlitt"	"Heinrich Louis Theodor "	1879							"Heinrich Louis Theodor Gurlitt; Kotor"				
53			"42.422012,18.771017"	1101	"Pogled na mletačku tvrđavu Kotor"	"Gurlitt"	"Heinrich Louis Theodor "	1879							"Heinrich Louis Theodor Gurlitt; Kotor"				
50			"42.486231,18.767312"	1102	"Pogled na Ljutu"	"Gurlitt"	"Heinrich Louis Theodor "	1879							"Heinrich Louis Theodor Gurlitt; Kotor"				
52			"42.486231,18.767312"	1103	"Pogled na mletačku tvrđavu Kotor"	"Gurlitt"	"Heinrich Louis Theodor "	1879	"ulje na platnu"						"Heinrich Louis Theodor Gurlitt; Kotor"				
49			"42.422012,18.771017"	1104	"Pogled na Ljutu"	"Gurlitt"	"Heinrich Louis Theodor "	1879	"ulje na platnu"						"Heinrich Louis Theodor Gurlitt; Kotor"				
79			"42.427741,18.758737"	1105	"Kotorski zaliv"	"Hermann"	"Corrodi"	1905					"Za razliku od tih vedrih kompozicija, u prikazu Kotorskog zaliva unosi snažnu dramsku notu – pejzaž u svitanje obavijen je tamnim koloritom i magličastom atmosferom, gdje planine gube realističnu formu i postaju dio gotovo mističnog, slikarskog doživljaja prostora.
"		"Hermann Corrodi; Kotor"				
42			"42.404193,18.779669"	1106	"Put od Kotora ka Cetinju"	"Hugo"	"Charlemont"	1892							"Hugo Charlemont; Kotor; “Austro-ugarska monarhija u slici i riječi”"				
76			"42.4723527675895, 18.71385815029095"	1107		"Nepoznati autor"		1869			"Ilustrated London News"		"Gravira prikazuje dio Kotorskog zaliva s valovitim morem po kojem plove jedrilice. U pozadini se uzdižu dramatično oblikovana brda i snježni planinski vrhovi, modelovani vijugavim linijama, dok je nebo izvedeno gustim horizontalnim šrafurama. Kuće pravilnih geometrijskih oblika, raspoređene uz obalu, unose ritam i smiruju dinamiku prizora. Izrađena je vjerovatno po skicama Edwarda Leara ili Herberta Railtona, koji su obojica slikali Boku u to vrijeme."						
74			"42.49998087978765, 18.72015519404782"	1108	"Pogled na Verige sa puta ka tvrđavi Sv Andrije iznad Perasta"	"Charles"	"Barbant"	1877					"Iz knjige Charlesa Yriartea ""Jadranska obala i Crna Gora""."		"Charles Barbant; Perast"				
64			"42.486874,18.697261"	1109	"Fašinada"	"Charles"	"Barbant"	1877					"Charles Barbant bio je francuski majstor drvoreza i ilustrator, jedan od najistaknutijih gravera svog vremena. Radio je za izdavačke kuće Hachette i Didot te za časopise Le Tour du Monde i L’Illustration, gdje je oživljavao prizore iz putopisne literature XIX vijeka. Njegove gravure, precizne i bogate detaljima, pratile su tekstove brojnih autora, među njima i Charlesa Yriartea, za čiju je knjigu Les Bords de l’Adriatique et le Monténégro urezivao prizore Boke Kotorske i Crne Gore."	"Primorski običaj Fašinada, star nekoliko vjekova, u Perastu se svake godine održava 22. jula, na dan početka gradnje ostrva Gospa od Škrpjela. Tada muškarci u barkama, okićenim zelenim granama, donose kamenje i polažu ga u more oko ostrva, simbolično učvršćujući njegove temelje. Tokom ovog drevnog rituala pjevaju se stare narodne pjesme – bugarštice."	"Charles Barbant; Perast"				
86			"42.446804,18.652183"	1110	"Herceg Novi na ulasku u Boku kotorsku"	"Édouard"	"Grandsire"	1877					"Francuski slikar i ilustrator (1820–1893) poznat po pejzažima i vedutama, kao i po saradnji s izdavačkom kućom Hachette na putopisnim izdanjima poput Yriarteovih knjiga. Njegovi crteži često su služili kao predlošci za gravure s mediteranskim i balkanskim motivima."		"Édouard Grandsire; Herceg Novi"				
84			"42.424134,18.770984"	1111	"Kotorska Katedrala"	"Rudolf"	"Kargl"	1900					"Rudolf Kargl (Austrija, 1913 – 1996) bio je austrijski slikar i grafičar, školovan na Akademiji likovnih umjetnosti u Beču. Najpoznatiji je po pejzažima i marinskim motivima, koje je slikao u realističkom, ali slikarski rafiniranom maniru. Putovao je Sredozemljem, uključujući obalu Jadrana i Crnu Goru, gdje je stvarao vedute obasjane mekim svjetlom juga."		"Rudolf Kargl; Kotor"				
81			"42.443673,18.753222"	1112	"Kuća u Prčanju"	"Petar "	"Lubarda"	1947	"akvarel"	"81 x 64,5 "			"""Brzi"" akvarel prikazuje kuću u Prčanju, viđenu s vrha obližnjeg mula. Slobodni, ekspresivni potezi dočaravaju igru svjetla na pročelju i crvenim krovovima, dok se u pozadini nazire planinski pejzaž. Rad odiše spontanom svježinom i karakterističnim Lubardinim osjećajem za ritam i kontrast tonova."		"Petar Lubarda; Kotor"				
61			"42.449418,18.752962"	1113	"Prčanj"	"Mario"	"Maskareli"	1953	"ulje na platnu"	"76x59,5"	"Muzej Nikole Tesle"		"Slika Prčanj je izrazito apstraktnog manira, tamnog kolorita sa dominantnim gustim plavim i zelenim tonovima. Predstavlja scenu prigušene atmosfere primorskog mjesta koje je za autora bilo od posebnog značenja. "		"Mario Maskareli; Kotor"				
68			"42.487878,18.695501"	1114	"Boka Kotorska sa crkvom Sv. Nikole"	"Michael"	"Zeno Diemer"						"U središtu kompozicije dominira crkva Svetog Nikole u Perastu, prepoznatljiva po visokom zvoniku koji se uzdiže iznad niza kamenih kuća uz obalu. Arhitektura je prikazana s velikom preciznošću i osjećajem za svjetlost: sunčevi zraci obasjavaju fasadu crkve i pročelja kuća, dok njihovi odrazi trepere u mirnoj, tirkizno-plavoj vodi zaliva."		"Michael Zeno Diemer; Perast"				
69			"42.487384,18.685759"	1115	"Gospa od Škrpjela"	"Michael"	"Zeno Diemer"						"Ova lirska kompozicija, nastala u čamcu, fokusira se na pogled prema ostrvu Gospe od Škrpjela i crkvi Svetog Nikole u Perastu, ističući i sakralni i ambijentalni značaj prostora. Smiren kolorit u plavo-zelenim i sivim tonovima naglašava odsjaj mora i stvara atmosferu tišine i poetičnosti. Planinski vijenac u pozadini i mirna površina vode unose osjećaj monumentalnosti, dok arhitektura ostrva djeluje zaštićeno i prisno u odnosu na prirodu. Djelo je prije svega umjetnički zapis svjetla i atmosfere, a ne dokumentarni prizor, što ga izdvaja od lokalnih slikara čiji su pogledi često bili prožeti ličnim i identitetskim značenjima."		"Michael Zeno Diemer; Perast"				
70			"42.413751,18.637067"	1116	"Jedrenjak i pomorska flota u Kotorskom zalivu"	"Michael"	"Zeno Diemer"						"U središtu kompozicije dominira jedrenjak sa razvijenim crveno-oker jedrima, čiji se odsjaj umireno preslikava na površini mora. Iza njega, pod svjetlom sjevernog sunca, uzdižu se kamene padine Boke Kotorske, obasjane toplim tonovima popodneva. Diemer pažljivo spaja preciznost marinskog prizora s poetskom atmosferom – mirnoća vode, meko svjetlo i sklad boja stvaraju osjećaj monumentalnog, ali tihog susreta čovjeka, mora i planine."		"Michael Zeno Diemer; Perast"				
83			"42.40335432350363, 18.793806914671986"	1117	"Pogled na Boku Kotorsku sa Lovćena"	"Bernhard"	"Fiedler"	1880	"litografija"				"Litografija štampana u Beču kod kod Ed. Hölzel najvjerovatnije prema crtežu Bernharda Fiedlera."		"Bernhard Fiedler"				
85			"42.426878,18.758855"	1118	"Pogled na Kotor"	"Rudolf"	"von Alt"	1867	" "				"Gravira iz knjige “Dalmatien, die Herzegowina, Montenegro und die Bocche di Cattaro” autora Johanna Wilhelma Valentina Schmidt-a, objavljene u Beču, 1867. Prikazuje grad Kotor i tvrđavu Sveti Ivan, sa pogledom s jugozapadne strane zaliva, uz naglašenu arhitekturu bedema i planinski masiv u pozadini."		"Rudolf von Alt; Kotor"				
65			"42.485853,18.690394"	1119	"Gospa od Škrpjela"	"Mihail Milo"	"Pavlović"		"akvarel"				"Bio je jedan od najistaknutih akvarelista u Crnoj Gori, ali i na prostoru nekadašnje  Jugoslavije. Bio je inspirisan crnogorskim pejzažima – od Katunske nahije, Budve, Boke Kotorske, sve do Bačke (u Srbiji). U djelima iz početne faze moguće je zapaziti uticaj Petra Lubarde, dok će kasnije razviti sopstveni stil. Poetičnost atmosfere, naglašena svjetlost, izrazito topao kolorit, sa tamnijim akcentima karakterišu njegove slike i akvarele. Iako često polazi od konkretnog motiva on je transformisan i obavijen jednom vrstom izmaglice, magičnosti, sugerišući duboku meditativnost. "		"Mihail Milo Pavlović; Perast"				
45			"42.42285227271716, 18.771733562667613"	1120	"Crkva Svetog Franja u Kotoru"	"Anton"	"Perko"	1889					"Prikaz crkve u toplom svjetlu kasnog dana, kada sunce blago obasjava kamen i stvara bogatu igru svjetlosti i sjenke po zidovima i krovovima okolnih zgrada.
U prvom planu vidljiv je dio uske ulice ili trga s nekoliko prolaznika – figura u pokretu koje unose život u arhitektonski okvir i daju mjerilo prostoru. Ove male, svakodnevne scene karakteristične su za Perkov način da pejzaž i arhitekturu oživi ljudskim prisustvom, bez narušavanja smirenog ritma kompozicije.
Kolorit slike počiva na toplim, zemljanim tonovima kamena i terakote, u kontrastu sa hladnim plavičastim sjenama i fragmentom neba koji otvara prostor i uvodi svježinu. Boje su prozračne, slojevite i usklađene — tipične za Perkovu paletu, koja prenosi dojam mediteranske svjetlosti i atmosfere."	"Atmosfera slike odiše tihim mirom i osjećajem postojanosti. Kotor je prikazan ne kao monumentalni grad, već kao intiman, gotovo zatvoren svijet u kojem arhitektura, svjetlost i ljudska svakodnevica čine skladnu cjelinu. Može se zapaziti suptilni osjećaj za ambijent i arhitektonsku ljepotu dalmatinskih i bokeljskih prostora"	"Anton Perko; Kotor"				
47			"42.449426,18.536747"	1121	"Herceg Novi tvrđava Forte mare"	"Anton"	"Perko"	1875					"Vješto spaja arhitektonsku monumentalnost tvrđave sa poetskim doživljajem svjetlosti i pejzaža. U središtu kompozicije dominira kamena masa Forte Mare, čije zidine silaze prema moru, dok se iznad njih dižu zeleni nasipi i vegetacija tipična za mediteranski kraj — borovi, masline i nisko rastinje.
More u podnožju tvrđave prikazano je u bogatim plavičasto-zelenim tonovima, s blagim talasima koji reflektuju svjetlost neba. Njegova površina djeluje gotovo prozirno, što pojačava osjećaj vedrine i svježine ljetnjeg dana. U daljini se naziru obrisi zaliva i planina, uronjenih u blagu izmaglicu."	"Autor majstorski koristi kontrast svjetla i sjenke: tvrđava je djelimično obasjana suncem, dok su njeni donji dijelovi u blagom hladu, čime se postiže osjećaj dubine i prostorne slojevitosti. Kamen je naslikan s pažnjom prema teksturi, s toplim nijansama okera i sivkastih tonova koji otkrivaju tragove vremena i soli."	"Anton Perko; Herceg Novi"				
46			"42.485262,18.700013"	1122	"Kotorski zaliv sa ostrvima Gospa od Škrpjela i Gospa od Milosti"	"Anton"	"Perko"	1875	"akvarel"	"24x36"			"Ovaj rad predstavlja jedno od njegovih najljepših prikazivanja bokokotorskog pejzaža — prizor u kojem se susreću miran ritam mora, monumentalnost planina i poetična svjetlost juga. U prvom planu nalazi se morska površina, mirna i blistava, obojena u nijansama tirkiza, plavetnila i srebrnastih odsjaja. Na vodi se vidi jedan ili nekoliko malih čamaca koji unose osjećaj pokreta i ljudskog prisustva, ali bez narušavanja smirenosti prizora.
S druge strane zaliva uzdižu se kamene obale s naseljima, nizovi kuća i crkvenih tornjeva koji se stepenasto penju uz padine brda. Planine koje zatvaraju zaliv dominiraju pozadinom — prikazane su u nježnim sivkastim i modrim tonovima, s magličastim prelazima koji stvaraju osjećaj dubine i prostorne širine."	"Njegova paleta je prozračna, a potezi kista mekani i ritmični, što pejzažu daje gotovo lirsku atmosferu.
U ovom djelu prepoznaje se Perkov osjećaj za mediteransku svjetlost i njegovu sposobnost da istovremeno zadrži realističnu tačnost i poetsku emociju."	"Anton Perko; Kotor"				
80			"42.507872,18.695962"	1123	"Risan"	"Nepoznati autor"		1876					"Gravira je objavljena u The Illustrated London News 1876"						
54			"42.415473,18.770560"	1124	"Kotorski zaliv"	"Rudolf"	"von Alt"	1841					"Austrijski slikar i akvarelista, jedan od najznačajnijih pejzažista XIX vijeka i predstavnik bečke realističke škole. Studirao je na Akademiji likovnih umjetnosti u Beču, gdje rano pokazuje izuzetan dar za preciznost i svjetlo. Putovao je širom Evrope – Italijom, Njemačkom i Balkanom – bilježeći vedute gradova i prirodne prizore. Njegovi akvareli, prožeti atmosferom i pažnjom prema detalju, predstavljaju spoj dokumentarnog i poetskog, čineći ga jednim od najistaknutijih hroničara evropskih prostora svog vremena."		"Rudolf von Alt; Kotor"				
55			"42.426015,18.759161"	1125	"Muo"	"Rudolf"	"von Alt"	1841					"U prikazu Mua prepoznaje se umjetnikov interes za topografski tačan, ali emotivno obojen prikaz prostora. Slika odiše smirenošću i skladom između prirode i čovjeka, prikazujući Boku Kotorsku kao prostor izuzetne ljepote i harmoničnog života uz more."		"Rudolf von Alt; Kotor"				
56			"42.422086,18.764112"	1126	"Pogled na Muo i Dobrotu"	"Rudolf"	"von Alt"	1841					"Kompozicija prikazuje panoramski pogled preko Kotorskog zaliva, s naseljem Muo u prvom planu, dok se naspram njega, preko vode, vidi Dobrota, niz bijelih kamenih kuća koje se pružaju uz obalu. U središtu prizora je mirna površina mora, koja poput ogledala reflektuje svjetlost i boje okolnog pejzaža. Planine koje zatvaraju zaliv izdižu se u pozadini, obavijene blagom izmaglicom — motiv tipičan za Altovu sposobnost da prikaže atmosfersku perspektivu i suptilne promjene svjetlosti."		"Rudolf von Alt; Kotor"				
57			"42.443585,18.763576"	1127	"Dobrota"	"Rudolf"	"von Alt"	1841					"Kompozicija je smirena i uravnotežena, s pogledom na obalu Dobrote, gdje se niz kamene kuće s crvenim krovovima niže uz usku obalnu liniju. U prvom planu su čamci i barke privezani uz obalu, što unosi život u prizor i ukazuje na svakodnevicu mještana, dok se u pozadini uzdižu planinski obronci koji zatvaraju zaliv. Između mora i planina, Alt gradi prizor harmoničnog suživota prirode i naselja.
"	"Njegov osjećaj za svjetlo i atmosferu posebno dolazi do izražaja — more je prikazano u blagim plavičasto-sivim tonovima, s odsjajem neba koje je prozračno i lagano zamagljeno, što prizoru daje karakter tipičnog jadranskog jutra. Arhitektura Dobrote prikazana je precizno, gotovo topografski — Alt svojim nježnim akvarelnim potezom stvara poetsku realnost, u kojoj se spajaju dokumentarnost i emotivnost."	"Rudolf von Alt; Kotor"				
58			"42.424134,18.770984"	1128	"Katedrala u Kotoru"	"Rudolf"	"von Alt"	1841					"Monumentalna fasada katedrale, s dva zvonika i romaničkim portalom, zauzima središnji dio kompozicije, dok su oko nje prikazane uske kamene kuće, kaldrmisani trg na kojem pulsira svakodnevni život grada. Na trgu se mogu nazreti figure prolaznika i trgovaca, što daje prizoru živost i ljudsku mjeru.

"	"Umjetnik koristi toplu, zlatnu svjetlost koja obasjava pročelje katedrale i obližnje zgrade, naglašavajući teksturu kamena i bogatstvo arhitektonskih detalja. U pozadini se uzdižu sive stijene Lovćena, stvarajući kontrast između monumentalne prirode i skladno izgrađenog grada u njenom podnožju. Ta dramaturgija svjetla i mase tipična je za Altovu estetiku — realizam prožet poetskim osjećajem prostora."	"Rudolf von Alt; Kotor"				
60			"42.424007,18.760486"	1129	"Kotor"	"Emil Jakob"	"Schindler"	1888					"Austrijski pejzažista i profesor na bečkoj Akademiji, predstavnik poetskog realizma XIX vijeka. Poznat po liričnim prikazima prirode i svjetla, slikao je motive iz Austrije, Italije i Dalmacije, uključujući pejzaže s prostora današnje Crne Gore. "	"Po narudžbini austrijskog kralja Rudolfa napravio je crteže dalmatinske obale i Krfa u okviru monumentalnog izdavačkog projekta „Austro-ugarska monarhija u slici i riječi“"	"Emil Jakob Schindler; Kotor; ""Austro-ugarska monarhija u slici i riječi"""				
48			"42.427076,18.768865"	1130	"Pogled na grad Kotor "	"Frederic"	"Sorrieu"	1877					"Frédéric Somieu bio je francuski crtač i ilustrator. Bio je  specijalizovan za pejzažni i arhitektonski crtež za reprodukciju graviranjem na drvetu. Ova gravira potiče iz knjige Šarla Irijarta „Obale Jadrana i Crna Gora” (1878) i prikazuje Kotorsku rivu i bedeme tvrđave Svetog Ivana."		"Frederic Sorrieu; Kotor"				
59			"42.422389407426564, 18.762039487074723"	1131	"Pogled na Kotor"	"Mathias"	"Trentsensky "	1845	"litografija"				"Austrijski litograf i izdavač aktivan u Beču sredinom XIX vijeka. Vlasnik radionice Trentsensky & Vieweg, poznate po vedutama i vojnim prizorima. Autor i izdavač ranih litografija Dalmacije i Boke Kotorske, među njima i pogleda na Kotor iz oko 1845. godine."		"Mathias Trentsensky; Kotor"				
87			"42.488000,18.695302"	1132	"Slika sa pristaništa"	"Savo"	"Vujović"	1949	"tempera na platnu"	"35x42"	"NMCG"		"Pogled na škver u Herceg Novom iznad kojeg se uzdižu zidine trvdjave. Realistična predstava priobalja realizovana u toplim pastelnim tonovima plave."		"Savo Vujović; Herceg Novi"				
63			"42.48869709704432, 18.6954365411939"	1133	"Pogled na Perast u Boki Kotorskoj"	"Adolf"	"Wagner"	1890					"Austrijski slikar s kraja XIX i početka XX vijeka, poznat po akvarelima jadranskih pejzaža. Kratko boravio u Boki Kotorskoj, gdje je naslikao prepoznatljive vedute Perasta i Kotora, prožete mirnom, romantičnom atmosferom."		"Adolf Wagner; Perast"				
22			"42.3976763662004, 18.92242745829751"	1134	"Donji kraj"	"Petar"	"Lubarda"	1947	"ulje na platnu"	"88,8x94,5"	"NMCG"		"Taman, prigušen kolorit karakterističan je za rane godine. Prikaz pejzaža intenzivnih sivo-zelenih tonova sa dijelom prigradskog dijela Cetinja sa nekoliko nižih, starih kamenih kuća i nešto svjetlijim objektom u centralnom dijelu koji dominira kompozicijom. Gusta faktura, odnosi svjetlo-tamni potenciraju atmosferu predjela. "	"Tokom godina provedenih u Crnoj Gori Lubarda je često obilazio Cetinje, Lovćen i okolinu gdje je nalazio inspiraciju za svoja djela. Narodni muzej Crne Gore posjeduje veliki broj njegovih radova iz svih stvaralačkih faza, izloženih u memorijalnoj sobi u okviru stalne postavke Umjetničkog muzeja."	"Petar Lubarda; Cetinje"				
164				1140	"Kuće na Svetom Stefanu"	"Olga"	"Bogdanović"		"ulje na platnu"	"52,5x70"	"NMCG"		"Primorski pejzaž sa neobičnim pogledom na Priobalje Svetog Stefana, sa kućom na samoj obali i pogledom na manju stijenu koja se uzdiže neposredno u blizini obale. Kolorit je prozračan, pastelan i topao u maniru intimističkog slikarstva."		"Olga Bogdanović; Sveti Stefan"				
192			"41.910678594146084, 19.234312969373363"	1141	"Velika plaža"	"Anastazija"	"Brajović"		"ulje na platnu"	"74x89,7"	"JU Muzeji i galerije Podgorice"		"Na slici je prikazan prostrani, sunčani pejzaž ulcinjske obale, gdje horizont široko otvara prostor i naglašava karakterističnu ravnu, beskrajnu liniju plaže. Kompozicijom dominiraju pijesak, more i nebo, svedeni na čiste, jasno definisane površine. Boje su svijetle i prozračne, a figura – ukoliko je prisutna – najčešće služi kao mali akcent koji potvrđuje razmjer i mir pejzaža."		"Anastazija Brajović; Ulcinj"				
162			"42.440469730227186, 18.6491990104324"	1142	"Demonstracija flote ispred Tivta"	"Ugo"	"Pogatschniggo"	1881	"ulje na platnu"	"75x240"	"NMCG"		"Predstava nekoliko vojnih brodova usidrenih u zalivu ispred Tivta. Kao provtiteža kompoziciji u prvomplanu predstavljena sumasivna brda u pozadini definisana različitim nijansama sivih i svjetloplavim nebom.  Na poleđini slike posveta o posjeti princa Danila brodu Teodo i autorstvo nad slikom kapetana Uga Pogatschniggo-a. "		"Ugo Pogatschniggo; Tivat"				
148			"42.45176482412107, 18.53872317906303"	1143	"Herceg Novi (Karača)"	"Vojislav "	"Đokić"	1950	"pastel na kartonu"	"40,3x56"	"NMCG"		"U „Herceg Novom“ Đokić donosi življu, dinamičniju kompoziciju. Pogled obuhvata gusto tkivo grada s terasastim kućama koje se spuštaju ka moru. Linije su izraženije nego u „Igalu“ – kompozicija ima jači ritam, s izmjenom vertikala i dijagonalnih krovova koji unose pokret."	"Kolorit je intenzivniji: tople crvene i narandžaste na krovovima kontrastiraju dubokim modrim i zelenim tonovima rastinja. Svjetlost je snažna, ali razlomljena, što stvara igru svjetlih i tamnih ploha i naglašava reljefnost grada. U atmosferi slike osjeća se vitalnost primorskog prostora — energija života, svjetlosti i boje."	"Vojislav Đokić; Herceg Novi"				
165			"42.43938731219403, 19.25939374876098"	1144	"Predio sa Ribnice"	"Niko"	"Đurović"	1949	" olovka na papiru"	"35x44"	"NMCG"		"Rad iz poslijeratnog perioda karakteriše izrazito realistična predstava Sastavaka - mosta na Ribnici i građevine (mlina koji više ne postoji) u neposrednoj blizini."		"Niko Đurović; Podgorica"				
152			"42.4534567848565, 18.527416023880875"	1145	"Herceg Novi"	"Branko"	"Filipović Filo"	1954	"ulje na kartonu"	"42,3x59"	"NMCG"		"Ovo je življi, ritmičniji pejzaž sa dinamičnim spletom kuća, stepeništa i mediteranske vegetacije. Svjetlost je oštrija, a kontrasti izraženiji. Kompozicija se zasniva na dijagonalama i vertikalama koje daju osjećaj pokreta i života grada u svjetlosti."		"Branko Filipović Filo; Herceg Novi"				
153				1146	"Primorski motiv"	"Branko"	"Filipović Filo"	1959	"ulje na platnu"	"54,5x84,5"	"NMCG"		"""Primorski motiv“ mogao bi predstavljati jednu vrstu sinteze Filovog pristupa pejzažu – to je slika u kojoj se prepoznaje njegov likovni kredo: svijet posmatran kroz boju, svjetlost i ritam oblika kroz postepeno dekomponovanje formi."	"Ova slika nagovještava postepeno svođenje forme i usmjeravanje ka apstraktnom slikarstvu koje će biti njegova glavna odlika."	"Branko Filipović Filo"				
150			"42.25746209461637, 18.89350884018613"	1147	"Sveti Stefan"	"Branko "	"Filipović Filo"		"ulje na papiru"	"35x50"	"NMCG"		"U ovom djelu Filo prikazuje netipičan obalski dio mjesta u duhu mediteranskog prostora. Arhitektura je svedena na ritam volumena  uokvirenih morem i nebom koje čine jedinstvenu kolorističku cjelinu. Paleta je topla, sa dominacijom okera, crvene i modre, a površina slike je strukturalno bogata, s vidljivim, zrelim potezom. "	"U atmosferi se osjeća mir i plemenita jednostavnost, što je karakteristično za njegovu poetiku tišine i svjetlosti. Ovo je rani period kada slika figuraciju u duhu tada aktuelnih tendencija."	"Branko Filipović Filo; Sveti stefan"				
166			"42.40336951145468, 18.793863871000525"	1148	"Boka"	"Branko"	"Filipović Filo"		"ulje na platnu"	"35x90,2"	"NMCG"		"Prikaz zaliva u Boki definisanog samo bojom, sasvim apstrahovanog. Sve manje je prepoznatljivih elemenata na njegovim kompozicijama. Izrazita svjetlost i svjetli kolorit sa ponekim plavim akcentom definiše brdovitu strukturu predjela."		"Branko Filipović Filo"				
151			"42.77424662683203, 18.942325632727886"	1149	"Nikšić"	"Branko"	"Filipović Filo"	1951	"tempera na platnu"	"33x49,5"	"NMCG"		"Na ovoj slici Filo napušta mediteranski ambijent i prikazuje kontinentalni pejzaž – gradski i industrijski prostor koji prepoznatljivo kontrastira njegovim primorskim motivima. Kolorit je prigušeniji: preovlađuju tonovi sive, smeđe i modrozelene. "	"Na ovom radu vidljive su karakteristike stila Aleksandra Aca Prijića sa kojim je u tom periodu, zajedno sa Gojkom Berkuljanom stvarao u okviru grupe ""Troijica""."	"Branko Filipović Filo; Nikšić"				
168			"43.03539187077306, 19.750323857713035"	1151	"Bijelo Polje"	"Ljuba "	"Ivanović"	1937	"olovka na papiru"	"24,8x34,8 "	"NMCG"		"Njegovo crtačko majstorstvo i vještina dočaravanja atmosfere mjesta prepoznaje se i na prikazu pogleda na grad u kojem dominira stari most.
Različitom gustinom šrafura za rastinje odnosno objekte u pozadini ostvarena je atmosfera prozračnosti prostora."		"Ljuba Ivanović; Bijelo Polje"				
16			"42.278859194614384, 18.83973144923277"	1152	"Budva"	"Ljubomir Ljuba"	"Ivanović"	1927	"crtež olovkom"	"24x35"	"NMCG"		"Ovaj netipični pogled na zidine Starog grada održava autorovu crtačku vještinu. Intenzivni, gusto zbijeni nanosi ostvaruju utisak masivnih kamenih površina zidova i fasada."	"Najbrojniji dio njegovog stvaralaštva nastao je na putovanjima širom regiona. Iako je moguće prepoznati konkretna mjesta u njima je uvjek prisutan dašak autorove lične impresije. Ovi crteži su naročito dragocjeni jer većina predstavljenih lokacija danas više ne postoji u izvornom obliku. Crteže odlikuje poseban tretman svjetlosti, interesovanje za svjetlo i polusjenke, kao i predstavljanje odnosa svjetlo-tamnog."	"Ljubomir Ljuba Ivanović; Budva"				
